"Module_Colors","Locus_Tag","Genes","PGFam","MRSA_As_1","MRSA_As_2","MRSA_As_3","MRSA_Bs_1","MRSA_Bs_2","MRSA_Bs_3","MRSA_Ctrl_1","MRSA_Ctrl_2","MRSA_Ctrl_3","MRSA_Li_1","MRSA_Li_2","MRSA_Li_3","MRSA_Mig_1","MRSA_Mig_2","MRSA_Mig_3","MRSA_Nd_1","MRSA_Nd_2","MRSA_Nd_3","MRSA_Ns_1","MRSA_Ns_2","MRSA_Ns_3","MRSA_Oss_1","MRSA_Oss_2","MRSA_Oss_3","MRSA_Oxs_1","MRSA_Oxs_2","MRSA_Oxs_3","MRSA_Sp_1","MRSA_Sp_2","MRSA_Sp_3","MRSA_Tm_1","MRSA_Tm_2","MRSA_Tm_3","MRSA_Vic_1","MRSA_Vic_2","MRSA_Vic_3"
"brown","SAR_RS08170","bfmBAA","Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)","-0.469854795888893","-0.604982462168918","-0.618861778960188","-0.583536556875547","-1.00203465302333","-0.746175742503861","0.769276982677343","0.717994993052338","0.794830870851085","0.404493569377253","0.305653295491139","0.0480685486371611","1.99916149498201","2.40107625591134","1.84888051804671","-1.09083025933682","-1.1240743391884","-0.981086660131844","-0.0212670288085618","-0.0315153041097189","-0.286294761743968","0.197191927089957","-0.106889275729571","0.293233007348509","-0.580330472466331","-0.588248220837437","-0.389156470615432","-1.80723931057443","-1.69833161676863","-1.63078265791548","0.670518454510333","0.925425975454455","0.64792910205223","0.949602726425069","0.893316111414977","0.494838534325471"
"brown","SAR_RS08175","bfmBC","Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)","-0.379877772195403","-0.263478612795374","-0.0836661140521955","-0.800765400353262","-1.04057778316864","-0.906156142300394","0.438482263957229","0.578449257550074","0.521028971536439","0.67027519390557","0.64004438917807","0.569236677204058","1.51263472809459","1.8238042149498","1.4885330976632","-0.781179697566794","-0.633890125580681","-0.686700970456588","-0.768159875882118","-0.880156454889592","-0.9170038871505","0.0996560747155915","0.164866376552384","0.495231671694859","-0.6728086430356","-0.482109973158627","-0.357745755373118","-1.95515276144615","-1.95776207503481","-1.77212609214918","1.08782441070256","1.05665442934803","0.909126522433419","1.37597915667652","0.993792886520987","0.913697813905633"
"green","SAR_RS08180","","DNA repair protein RecN","-0.982210663705051","-0.851749918321426","-0.959638487262535","-1.26436425184842","-1.37483494517487","-1.40270421246548","0.944440302359469","0.93017401292609","1.11708762035778","1.02177400775447","0.976767871709258","1.20547969484907","0.372042001462994","-0.0897432436943168","-0.40580853411274","0.0329032072135507","0.276973989614636","0.406397471023624","-0.178248594607184","-0.835421187365595","-1.04503018164884","0.612838005754887","1.06650007776546","0.646025824927067","-0.294657323272341","-0.305785800523302","-0.495080432228556","-1.8187277022134","-1.76112849512508","-1.64069531851725","1.41484929496978","1.18868047486029","0.693003548372647","1.18551897769842","0.948063101313045","0.666309807153835"
"salmon","SAR_RS08185","argR","Arginine pathway regulatory protein ArgR, repressor of arg regulon","-0.856821752295206","-0.710146179516073","-0.757472687378976","-0.718491250422148","-0.578393450981424","-0.563460002949821","1.37923932317775","1.27730378240504","0.938320913560298","0.635346546604748","0.904746612899298","1.12737083475186","-1.32209116203607","-1.68822795113398","-1.72888812704635","1.22069922528821","1.31464300608355","1.84597880177141","1.27783342312685","-0.214565638454206","0.0317678725216776","0.839091504794108","0.0862254601735824","0.0654117786700909","-0.220394430420456","-0.0439969918401028","-0.546141241179946","-1.55258568689523","-1.62624348914362","-1.51100451442658","0.722573943931035","0.265364145053","0.0925634410501076","0.376623287114042","0.268799927853585","-0.0309792747100368"
"turquoise","SAR_RS08190","","(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)","1.38123029494991","1.2937654218934","1.33479606220927","0.989420141020041","0.829977459956925","1.07385979912153","0.00093077210387862","0.11378789296845","0.139999326392247","0.612863246406107","0.600884277896737","0.597680053674271","-1.41120834110846","-1.61849241118116","-1.64881365810057","-1.26936113388266","-1.35560360840068","-1.1411445224264","-1.05989784718865","-0.741245452270637","-0.962868799400011","0.364723351145367","0.1976431294203","0.927686348163245","1.15287761712978","1.63814981514743","1.10929386696481","-1.20063285140859","-1.15680781095549","-1.22974236754548","-0.0611331552558427","0.0417543645480285","-0.3619164903134","0.456495056905836","0.304340304727943","0.0567098466925321"
"turquoise","SAR_RS08195","","Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)","1.64491467646729","1.10565048695747","1.31990645609403","1.28424011214209","0.624717708220649","1.70145602618169","-0.468209653134949","0.259928334655122","-0.0775518044523203","0.0449228320404231","0.88562035920757","0.666555529015936","-1.0257581273308","-1.48169888778448","-1.42287631115128","-1.15454046573408","-1.10642792143062","-1.24186080423151","-0.997525416072223","-1.30321575571725","-1.02695543295028","0.44004608932456","0.124939455525175","1.12548104260474","1.06722156963847","1.24562906216101","0.554804781761941","-1.17161935685474","-1.06728933209748","-1.2292269927444","0.0645286116457027","-0.0338831923793267","-0.348659809023343","1.04016819175934","0.128620642119723","-0.172052704433854"
"turquoise","SAR_RS08200","xseA","Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)","1.44818253277776","1.56247679925719","1.66559335854284","1.52383272840261","1.1279789778781","1.68606892716746","-0.12328339786705","-0.386997706864311","-0.256087353776477","0.150135417670639","0.471557868297889","0.627541261458396","-1.26017093573258","-1.49785580558245","-1.45893973011381","-0.738183371072886","-1.0037750010874","-0.90162297781825","-0.849114174002375","-0.839802844620998","-0.785311577496747","0.00922817599143516","0.00889379669385052","0.274477993065015","1.25372353365556","1.14122276993725","1.29690845828887","-1.26884940543202","-1.24866645714153","-1.29378780230291","-0.0609699135230746","-0.37979852361041","-0.407045865418761","0.232816636606183","0.395332379172714","-0.115708771399742"
"turquoise","SAR_RS08205","nusB","Transcription termination protein NusB","0.556487392556434","0.666307372564398","1.12184344768384","1.66329244688154","1.06452465219794","1.57078427007459","0.647045522898856","-0.322752160371422","0.22879723258356","0.0318828229249723","0.402186318627267","0.720780008774074","-1.5986159949277","-1.71953902217238","-2.05817905202971","-0.283352443166087","-0.554749663548029","-0.894935028384187","-0.854943483754171","-1.32768514693555","-0.979470198785479","-0.667201388740734","0.595721791985654","1.67899412498074","0.962063691585195","1.07736866443679","0.785364479664974","-0.629796410704975","-1.22555259482718","-0.897856750870219","-0.0100049953893107","-0.469180959386477","-0.841921879660367","0.797295019996076","0.59283428575602","0.172163627481062"
"turquoise","SAR_RS08210","","hypothetical protein","0.904705377188852","1.66293278265834","1.10586192129551","1.0900256874486","1.03176806780593","1.67336977051156","-0.61196953163551","-0.207358753890743","-0.0347554941032182","0.549848395767345","0.232138004525156","1.05478736724617","-1.47741926967885","-1.77011285485422","-1.94167923671028","-0.450128584823098","-0.596096710137188","-0.659692459158686","-1.09025477585408","-1.10470114891165","-0.947891346765561","0.182703700928546","0.182758318234904","0.394418697782174","1.55604426994765","1.43727992732422","0.927852367815581","-1.10293297966102","-1.06025453447964","-1.14332522909803","-0.0292453417911733","-0.407858831279368","-0.353493584522004","0.318181035413041","0.241639780095379","0.442855195365361"
"turquoise","SAR_RS08215","accC","Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)","1.47639900190371","1.84697139324911","2.13489604046025","1.15149032696899","0.767124330302546","1.16143985987955","-0.356626382300681","-0.345576016415792","-0.24685267490441","-0.241682419837487","0.065394237918764","0.245967373959957","-1.14979189031243","-1.36719448717046","-1.38872289208373","-1.28032398146629","-1.28078992088084","-1.14348985227855","-1.31810083807584","-1.30185024265581","-1.34462061603888","-4.22287096277487e-06","-0.128404496130071","0.366521482631071","1.07278205414129","1.30809954745583","0.88100809364828","-0.278833219204556","-0.592980886917408","-0.60785497436627","0.0250457242136886","-0.0307911120621148","-0.168695093958416","0.991780448469865","0.655361798462708","0.422904506265388"
"turquoise","SAR_RS08220","accB","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","1.9352527833206","2.05628311216649","2.73692708399492","1.08046096248281","1.17722379729657","0.754197734610356","-0.381262586599028","-0.661802717130641","-0.305309783758238","-0.15955137314174","-0.00309751984625633","0.336939066074764","-0.87583117244899","-1.04978511075848","-1.15165703189724","-1.28534339020957","-1.28354003066605","-1.16791042989092","-1.29693080390474","-1.32308377911795","-1.35942569191594","0.0371790536885939","0.875967396829267","0.139858199976166","0.424039609564249","0.351456233891781","0.871324504034474","-0.304094512158051","-0.260306872315717","-0.337192164526941","-0.104382562381526","-0.216486544201483","-0.114647715259883","0.201678387351035","0.296420434125956","0.366433432721356"
"turquoise","SAR_RS08225","efp","Translation elongation factor P","0.369750518804415","0.067114930136951","0.345250475294275","0.522768654742243","0.335155081952863","1.19218734822722","1.01495863700766","0.696186854069043","0.754416677025634","1.6222034989615","1.84121197479045","1.76319263447299","-1.44496278007315","-1.6358711160058","-1.63175129338967","-1.35720866312256","-1.48270165538721","-1.47871867849303","0.0310098580945222","-0.0811023651945091","0.443694184505077","0.520661023310258","0.0912007804853706","0.807413108307098","0.578246091317788","0.733581782589551","0.491808588033018","-1.13000778127917","-1.08749987146622","-1.05341411979989","-0.823969681405573","-0.716769550624593","-0.854778046211341","0.361510070521041","0.391013175324487","-0.195780345520756"
"turquoise","SAR_RS08230","","Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)","0.272531502033237","0.475427988245357","0.419832113797172","0.153676123052396","-0.197848765933629","0.196096625182144","-0.784294988633954","-0.8223681580308","-0.707238837916312","0.103707751737515","-0.118306489008675","0.778465201083419","-1.21357572976704","-1.51167266946796","-1.56038098565704","-0.839431740657442","-0.823532509788992","-0.598399178605654","-1.3029935198837","-1.65555918943982","-1.70808590028203","-0.758420197750235","-0.46735714250406","-0.478060984410822","0.738135749241256","1.03346729477183","1.85656727137664","1.00343601525703","0.857483005035023","1.06576373885996","1.16089188265362","1.03096124994448","0.793673488328616","1.5158039595679","1.38087029112224","0.710735736448333"
"magenta","SAR_RS08235","","hypothetical protein","0.878518503456029","1.22632822686558","1.44420530948118","1.53496099297558","2.24491546095664","0.967070840580735","-0.787356813147125","-0.95666788552778","-0.319945648502297","-0.221603254846141","-0.425126783245627","0.601860157664865","-1.19277531690804","-1.05866706263203","-0.990163599385141","0.824334360953149","0.993695500547989","1.93621241148669","-1.08079031861538","-1.7485741987339","-1.7583812523355","0.557082364645566","-0.556275444955549","-0.0569719961662179","-0.521651314148831","-0.421394143890631","-0.177904786933155","-0.561694368443803","-1.05565918092428","-0.781018319419152","0.162702247877091","0.69810194797123","0.158464423158528","0.366549533836298","0.0471931158599022","0.0304262904435295"
"yellow","SAR_RS08240","","hypothetical protein","1.27635035911677","0.616635191772288","-0.531040044029603","-0.431880573207849","-0.042652500236589","0.70913767152758","-0.409346352505577","-0.509593047167303","0.208331342465036","0.541198479644363","1.19822527996029","2.2110221700029","-1.2172472970355","-1.42210985762548","-1.6340206335468","1.39462542064387","0.996761028225626","0.140980649361762","-1.10350841767696","-0.166349647481716","-1.68435402809478","0.191151533316268","-0.0351087936721031","0.336277330275026","-0.137987161509807","0.798555073634736","-0.0812204931941211","-1.20828993821863","-1.80389347638186","-1.69868091264445","0.0441865055969394","0.0924792635655388","0.555544683324206","1.28255950390955","0.46442797093784","1.05883371694852"
"magenta","SAR_RS08245","","Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase, LipM (EC 2.3.1.181)","0.899947946404574","0.0392597376694405","0.140912299811414","1.55046268207298","1.73556012494133","1.04220636416944","-0.783490545151275","-0.226800207663339","-0.209965305353703","0.31751073676721","-0.0941538923219225","0.668171045088741","-0.575340354642476","-1.1323197976781","-1.00994166390383","1.91907153674615","2.31424803322396","1.77703313294796","-0.226882629345318","-0.955305138985008","-1.26578547050077","-0.768713524802491","-1.4132826247905","0.246753550173821","-0.554568669484435","-0.516113538846361","-0.320968115450683","-1.3337986228438","-1.22155077492848","-1.35896887858218","-0.181268216991715","0.395372899116269","0.486020729444983","0.270365892852169","0.138239191371261","0.208082069464692"
"turquoise","SAR_RS08250","","Rhodanese-like domain protein","-0.0233628837528721","-0.277113891881828","-0.301039510143207","1.14508680768635","1.36445088673321","1.47915888345246","0.144276294269563","0.675951293506618","0.793505769428859","1.15021596019304","1.16105007073931","1.28225870810272","-1.45164208910861","-1.4957964118105","-1.65938833721146","-1.65073223552964","-1.59724829614195","-1.45913384539871","0.101411221071191","-0.232626768916654","-0.349529238941014","0.949962360213771","0.304159980666725","1.50369376087168","0.0350925540790654","0.212275555448951","0.120967958334838","-1.33636299160494","-1.19624619294417","-1.23840133797996","-0.194651672276613","0.342054728467706","-0.0855855859172611","0.70594281524863","0.69709731136034","0.380248369684366"
"tan","SAR_RS08255","","Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)","-0.11032650291598","0.128320748603809","0.0447679071803019","0.0989723903347102","-0.242359583072057","0.0344613714659567","0.0810163872699049","-0.23950680837199","-0.117786426790612","-0.274093116449778","0.0499976752605894","0.0596205360348633","-1.06658514080028","-1.32046811307475","-1.33516749011124","-0.435372779031068","-0.645123725678473","-0.79003612930616","-0.200974928410473","0.108186035359926","0.296193343257915","2.14459153500352","2.14402234900784","2.48546833229527","1.07697081320738","1.18188516932249","1.89992602447744","-1.43672715178522","-1.50278296167016","-1.59061836394607","0.213522414437244","0.0239498086204249","0.0855130372690859","-0.169594931919018","-0.31784568353203","-0.362016041543319"
"turquoise","SAR_RS08260","","Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)","0.430252564393224","0.640301412810745","0.811692972761121","0.535983140863364","-0.0377371595895481","0.674994753209353","-0.15434744121479","-0.37428426519438","-0.264835561438134","-0.327941610121909","-0.19849026321424","0.0992977890077923","-0.786145695145271","-1.30617313279404","-1.21659111066977","-0.514099481219378","-0.84302383144122","-0.970966626114387","-0.597581428656378","-0.434986397031492","-0.355615316130961","2.65261931714773","1.6884011450799","2.59761766544114","0.666112402089077","0.690748728105338","1.22253501689224","-1.4202653334525","-1.51586894342479","-1.65080897146077","0.226376650281375","0.0935537588260304","0.111666171748871","-0.00306430425614264","0.0549708267016886","-0.224297442788897"
"turquoise","SAR_RS08265","gcvT","Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)","1.11138490419534","0.770654429288133","1.02405056991891","0.665713489274535","0.0193902778027988","0.447218692585211","-0.7092525854219","-0.364673594660791","-0.414228502629257","-0.260000205010233","-0.839705801271771","0.0559993080886619","0.0213933636106842","-0.833938654185729","-1.14469890354575","-0.742260508115664","-0.654994663034329","-0.645161925912598","-0.99116159262085","-0.916337353029879","-1.01000023784227","2.12945641501859","2.52917156176939","2.43858487061021","0.129030249572822","0.433987679205013","0.794283908726366","-1.37081757032022","-1.32118425525783","-1.42026266335151","0.0606358134552486","0.152527255843544","-0.031789837780426","0.350627405688723","0.27780014803245","0.25855851130437"
"green","SAR_RS08270","","Shikimate kinase I (EC 2.7.1.71)","0.430080499540768","-0.248935418154883","0.46893074063907","1.58456041254901","2.36453925710522","1.97276243179123","-0.951168736074712","-0.322158989777267","-0.437174509570777","-0.504708438723786","-0.714856657550944","-0.464327141241672","0.126224961279213","-0.193949179677336","-0.792582390593665","-0.5627593406677","-0.596477994467189","-0.754884134475005","-0.877804240739708","-0.907550841031165","-0.74523689905233","-0.920629230829615","-1.1326468559072","-0.603831681581355","-0.250136950832573","-0.229534544243684","-0.245612724118134","2.30698758426179","2.08149762342937","1.40376941360053","-0.66492750146911","0.0289796431915918","-0.850101421421733","0.333077965687871","0.84352406424317","0.0270612248827032"
"brown","SAR_RS08275","","","-0.232421162196363","-0.232421162196363","-0.232421162196363","2.96627223626418","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","4.93604727841218","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363","-0.232421162196363"
"turquoise","SAR_RS08280","","Late competence protein ComGF, access of DNA to ComEA, FIG017774","0.112174717002948","-0.734082548216971","3.97885950195976","-0.342072759318583","-0.00409319033002445","1.13045686257585","-0.240060585881291","0.294710983263166","-0.754182329181447","-0.789710622883353","-0.398721967409162","-0.345189052629606","0.407445052628664","-0.164577381808395","-1.19779137913679","-0.35646011893717","-0.764183155077738","-0.733719818154578","-1.19779137913679","-0.685613674671129","-0.179903746357411","1.90226890300812","-1.19779137913679","0.770313916842001","0.500493745358305","-0.997916858643443","0.383374696100369","0.475816217458331","0.423456202141279","1.32709413729674","0.091891042159655","0.319817463694965","-1.19779137913679","0.130021009100552","0.124119401640248","-0.0906605261834846"
"green","SAR_RS08285","","Late competence protein ComGE, FIG018915","2.65843765598211","0.270177979896652","0.167104135122763","0.105747847177759","1.57629516253138","0.422730525192023","0.700053641822854","-0.411475815456544","-0.688489599414249","-0.870335842970688","-0.542777668332523","0.527674681149812","-0.870335842970688","0.146159653303498","-0.870335842970688","0.383781771696892","-0.692589183596855","-0.109398527018085","-0.607066241941865","-0.870335842970688","-0.870335842970688","-0.207314536332671","-0.870335842970688","0.743213540159217","-0.696293648702975","-0.870335842970688","-0.870335842970688","2.55992842004111","1.06301454662408","-0.870335842970688","-0.447397846887031","-0.870335842970688","2.24499738620286","0.243011008280858","0.164169385176505","-0.870335842970688"
"grey60","SAR_RS08290","","Late competence protein ComGD, access of DNA to ComEA, FIG012777","-0.141861996390072","-0.304584851593329","0.577677510170625","0.982845671023112","0.670273992193269","0.692580253567699","-0.632314928866665","-0.862969032574717","-0.542460653945532","-0.862969032574717","-0.862969032574717","0.505934956836705","-0.347508427535004","-0.315536381663186","-0.862969032574717","-0.0156442536119719","-0.0797621250798031","0.031144517599974","-0.398950027469573","-0.862969032574717","-0.862969032574717","0.110856803652827","4.41638374146735","1.98095057350233","-0.249461923730541","-0.574149593565448","-0.239844223726014","1.39417566139619","-0.224048425087823","0.179450719743652","-0.303890237892273","-0.253816108988233","-0.496912381600792","-0.51411559070356","-0.399898466712904","-0.329699607542708"
"red","SAR_RS08295","","Late competence protein ComGC, access of DNA to ComEA, FIG007487","-0.413669390447019","-0.286856633403984","0.904292695208129","0.849312786540938","3.00507685354639","1.00804801759853","2.22435761254731","-0.0625808422895236","-0.944380416636253","-0.944380416636253","-0.944380416636253","0.936226976142035","1.07888372500274","-0.163013339398027","-0.944380416636253","-0.72747498082668","-0.22706461185454","-0.944380416636253","-0.640822457858961","-0.460213054817364","-0.944380416636253","-0.944380416636253","-0.944380416636253","0.916091720791004","0.46035165793585","-0.377549500048744","2.04500783764201","0.32128369563331","-0.944380416636253","-0.603408593591303","-0.2128896119263","-0.466176163744361","-0.764776658028666","0.168179699851123","0.3052367557703","-0.316430446247911"
